word,meaning,furigana
魔法1,Magia,まほう
魔法2,Magia,まほう
魔法3,Magia,まほう
魔法4,Magia,まほう
魔法5,Magia,まほう
魔法6,Magia,まほう
魔法7,Magia,まほう
魔法8,Magia,まほう
魔法9,Magia,まほう
魔法10,Magia,まほう
魔法11,Magia,まほう
魔法12,Magia,まほう
魔法13,Magia,まほう
魔法14,Magia,まほう
魔法15,Magia,まほう
魔法16,Magia,まほう
魔法17,Magia,まほう
魔法18,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
魔法,Magia,まほう
